IMAGE NAME                               NECROSIS AREA           IMAGE AREA           PERCENTAGE 
img_20141210_113216.jpg                  125753.5                1925317.5            6.5 
img_20141210_113217.jpg                  239381.5                2801541.0            8.5 
img_20141210_113422.jpg                  209798.0                559773.5             37.5 
img_20141210_113426.jpg                  315505.5                813040.0             38.8 
img_20141210_113429.jpg                  377583.5                973014.5             38.8 
img_20141210_132143.jpg                  2176507.5               2642905.0            82.4 
img_20141210_132203.jpg                  3040038.5               3846793.0            79.0 
img_20141210_132404.jpg                  644988.5                2907157.5            22.2 
img_20141210_132424.jpg                  1570736.5               1973420.0            79.6 
img_20141210_132445.jpg                  164720.0                1726034.5            9.5 
img_20141210_132500.jpg                  22419.5                 142029.5             15.8 
img_20141210_132504.jpg                  6275.0                  82796.5              7.6 
img_20141210_132511.jpg                  5425.0                  76031.0              7.1 
img_20141210_132513.jpg                  10643.0                 76792.5              13.9 
img_20141210_143615.jpg                  50674.5                 3192398.5            1.6 
img_20141210_143640.jpg                  29733.0                 2513222.5            1.2 
img_20141210_143642.jpg                  28662.0                 3178240.5            0.9 
img_20141210_143701.jpg                  197776.0                3743550.0            5.3 
img_20141210_143707.jpg                  203122.5                3664639.5            5.5 
img_20141210_143717.jpg                  515340.5                4126683.0            12.5 
img_20141210_143719.jpg                  575634.5                4028126.0            14.3 
img_20141210_155010.jpg                  244910.5                2149036.5            11.4 
img_20141210_155012.jpg                  23135.0                 1993973.0            1.2 
img_20141210_155022.jpg                  56768.0                 3357167.0            1.7 
img_20141210_155024.jpg                  68266.0                 3819148.0            1.8 
img_20141210_155027.jpg                  60826.5                 4309788.5            1.4 
img_20141210_155037.jpg                  181492.0                3720967.0            4.9 
img_20141210_155040.jpg                  427126.0                4476496.5            9.5 
img_20141210_155057.jpg                  95688.0                 3494450.5            2.7 
img_20141210_155136.jpg                  685527.5                3152675.5            21.7 
img_20141210_155146.jpg                  516953.5                2214077.5            23.3 
img_20141210_155148.jpg                  326338.5                1879801.0            17.4 
img_20141210_155153.jpg                  378406.0                1944736.0            19.5 
img_20141210_155155.jpg                  269433.0                2120902.0            12.7 
img_20141211_090059.jpg                  1238037.0               3864908.5            32.0 
img_20141211_090102.jpg                  1458274.5               4128711.0            35.3 
img_20141211_090104.jpg                  1400457.5               4074480.5            34.4 
img_20141211_090114.jpg                  1860146.5               4264184.0            43.6 
img_20141211_091041.jpg                  121804.5                1716218.0            7.1 
img_20141211_091049.jpg                  308982.5                4075610.5            7.6 
img_20141211_091051.jpg                  198454.5                3388495.5            5.9 
img_20141211_091053.jpg                  201257.5                2808474.5            7.2 
img_20141211_091105.jpg                  305067.5                4710629.5            6.5 
img_20141211_091107.jpg                  181764.5                3876543.0            4.7 
img_20141211_091109.jpg                  285767.5                4021549.0            7.1 
img_20141211_091111.jpg                  280772.5                4488407.0            6.3 
img_20141211_091112.jpg                  273639.5                3981791.0            6.9 
img_20141211_091114.jpg                  217607.5                3497647.0            6.2 
img_20141211_091138.jpg                  245433.0                3441827.5            7.1 
img_20141211_091141.jpg                  132366.0                4222861.0            3.1 
img_20141211_091146.jpg                  208524.5                4469636.5            4.7 
img_20141211_091149.jpg                  266792.0                5215203.5            5.1 
img_20141211_091152.jpg                  229550.0                6383250.0            3.6 
img_20141211_091154.jpg                  166034.5                4624682.5            3.6 
img_20141211_095422.jpg                  274108.0                3399719.0            8.1 
img_20141211_095424.jpg                  229459.5                3241852.0            7.1 
img_20141211_095555.jpg                  535609.5                3789360.5            14.1 
img_20141211_095557.jpg                  462748.0                3482469.0            13.3 
img_20141211_095559.jpg                  432287.0                3473687.5            12.4 
img_20141211_095614.jpg                  527254.0                4727448.0            11.2 
img_20141211_095616.jpg                  347494.5                4610476.5            7.5 
img_20141211_095619.jpg                  404592.0                4261850.0            9.5 
img_20141211_095622.jpg                  475122.0                3594270.0            13.2 
img_20141211_095626.jpg                  495913.5                4846506.0            10.2 
img_20141211_095633.jpg                  172015.0                1132624.5            15.2 
img_20141211_095645.jpg                  1927410.5               4271801.5            45.1 
img_20141211_095647.jpg                  536684.0                3803167.0            14.1 
img_20141211_095650.jpg                  374724.5                4217297.0            8.9 
img_20141211_095659.jpg                  38175.5                 1092922.5            3.5 
img_20141211_095710.jpg                  708223.0                3568049.0            19.8 
img_20141211_095713.jpg                  763175.5                3933251.5            19.4 
img_20141211_095715.jpg                  728326.5                3707852.0            19.6 
img_20141211_095717.jpg                  849836.5                3928591.0            21.6 
img_20141211_095720.jpg                  849836.5                4212201.0            20.2 
img_2014210_094955.jpg                   414922.0                784149.5             52.9 
img_2014210_094957.jpg                   543263.5                896964.5             60.6 
img_2014210_095029.jpg                   0.0                     1075542.0            0.0 
img_2014210_095033.jpg                   282601.5                1084451.5            26.1 
